# source: https://www.google.com/maps/search/hotel/ — Jakarta zoom17 grid
place_id,name,latitude,longitude,address,city,country,timezone,categories,star_rating,rating,amenities,description,price_display,website,phone,google_maps_url
ChIJ_YRLOzDlaS4R56DQ60VeeRI,Puspiptek Residence Syariah Mitra RedDoorz,-6.3481654,106.6776139,"Puspiptek Residence Syariah Mitra RedDoorz, Jl. Pd. Aries No.60, RW.4, Setu, Kec. Setu, Kota Tangerang Selatan, Banten 15314","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Rumah wisata,Rumah wisata,4.5,,,Rp 257.999,https://www.reddoorz.com/id-id/hotel/indonesia/tangerang-selatan/setu/setu/puspiptek-residence-syariah-mitra-reddoorz?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,0,https://www.google.com/maps/place/?q=place_id:ChIJ_YRLOzDlaS4R56DQ60VeeRI
ChIJbW_mKRLlaS4RKkGE58AWBUI,BINTANG RESIDENCE 2,-6.3405714,106.72152,"BINTANG RESIDENCE 2, Jl. H. Saleh III No.88e, RT.02/RW.02, Benda Baru, Kec. Pamulang, Kota Tangerang Selatan, Banten 15415","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Hotel,Hotel,4.7,,,Rp 249.525,,(,https://www.google.com/maps/place/?q=place_id:ChIJbW_mKRLlaS4RKkGE58AWBUI
ChIJDeSE0r3laS4RU3JROIZeWfw,SUPER OYO Collection O 92122 Series Hotel Serpong,-6.351896,106.6756772,"SUPER OYO Collection O 92122 Series Hotel Serpong, Perumahan Puspiptek, Setu, South Tangerang City, Banten 15341","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Hotel,Hotel,3.6,,,,https://www.oyorooms.com/h/200729?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_TGG089&latitude=-6.35157&longitude=106.6755&locale=id,(,https://www.google.com/maps/place/?q=place_id:ChIJDeSE0r3laS4RU3JROIZeWfw
ChIJYT6MMz7laS4RskPUC3TkUu4,OYO 488 Tekno Residence,-6.3480428,106.677639,"OYO 488 Tekno Residence, Jl. Raya Puspitek No.8, Setu, South Tangerang City, Banten 15314","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Hotel,Hotel,4.4,Wi-Fi gratis,,,https://www.oyorooms.com/h/50840?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_JKT105&latitude=-6.34809&longitude=106.6777&locale=id,(,https://www.google.com/maps/place/?q=place_id:ChIJYT6MMz7laS4RskPUC3TkUu4
ChIJt3yq8_3laS4RKuH3hWzQWDE,OYO Life 1881 Tekno Residence,-6.3471689,106.68716739999999,"OYO Life 1881 Tekno Residence, Jalan Desa Setu no. 8 Raya, Jl. Raya Puspitek, RT.15/RW.4, Setu, Serpong Sub-District, South Tangerang City, Banten 15314","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Hotel,Hotel,3.7,,,,https://www.oyorooms.com/85482/,(,https://www.google.com/maps/place/?q=place_id:ChIJt3yq8_3laS4RKuH3hWzQWDE
ChIJQeX4XYXkaS4Rd51qMvJYNBs,Hotel O Cprc Inn Serpong,-6.3369699,106.6405267,"Hotel O Cprc Inn Serpong, Apartment, Jl. Serpong Garden No.1, Cibogo, Cisauk, Tangerang Regency, Banten 15344","Kabupaten Tangerang, Banten",ID,Asia/Jakarta,Hotel,Hotel,3,,,,https://www.oyorooms.com/235952/,(,https://www.google.com/maps/place/?q=place_id:ChIJQeX4XYXkaS4Rd51qMvJYNBs
ChIJ5zATYIXkaS4RnHs_kXnHi1M,OYO 93831 Penginapan Cisauk,-6.3372367,106.6408276,"OYO 93831 Penginapan Cisauk, Apartment, Jl. Serpong Garden No.62, Cibogo, Cisauk, Tangerang Regency, Banten 15344","Kabupaten Tangerang, Banten",ID,Asia/Jakarta,Hotel,Hotel,,,,,,0,https://www.google.com/maps/place/?q=place_id:ChIJ5zATYIXkaS4RnHs_kXnHi1M
ChIJdVD70PvkaS4RdVyPiUt7cK4,Wisma Dahlia,-6.340116399999999,106.6684521,"Wisma Dahlia, Jl. Kapuk Amarapura No.12, Kademangan, Kec. Setu, Kota Tangerang Selatan, Banten 15314","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Guest house,Guest house,5,,,,,0,https://www.google.com/maps/place/?q=place_id:ChIJdVD70PvkaS4RdVyPiUt7cK4
ChIJG5D-mS7maS4RYI19weMdkcM,OYO 90844 Guesthouse Parung Asri Syariah,-6.4198588999999995,106.7157447,"OYO 90844 Guesthouse Parung Asri Syariah, Traditional Market Bogor, 4, Warujaya, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","Kabupaten Bogor, Jawa Barat",ID,Asia/Jakarta,Hotel,Hotel bintang 2,3.3,,,,https://www.oyorooms.com/h/168656?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BGR077&latitude=-6.41986&longitude=106.7157&locale=id,(,https://www.google.com/maps/place/?q=place_id:ChIJG5D-mS7maS4RYI19weMdkcM
ChIJxzx2g3rvaS4R4_FmddvT9mw,Guest House & Kost Akomurasih,-6.3511567,106.73487589999999,"Guest House & Kost Akomurasih, Jl. Kemuning 1 No.61, West Pamulang, Pamulang, South Tangerang City, Banten 15417","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Rumah Pondokan,Rumah Pondokan,4.6,Wi-Fi gratis,,,http://www.kostakomurasih.com/,0,https://www.google.com/maps/place/?q=place_id:ChIJxzx2g3rvaS4R4_FmddvT9mw
ChIJlQFrYMvvaS4RWR-CoxOjnKY,OYO 90598 Griya Serua Indah Hotel & Convention Hall,-6.3679545,106.7411563,"OYO 90598 Griya Serua Indah Hotel & Convention Hall, Jl. Kav.Dpr, RT.002/RW.001, Serua, Kecamatan Bojong, Depok City, West Java 15414","Kota Depok, Jawa Barat",ID,Asia/Jakarta,Hotel,Hotel,4.3,,,,https://www.oyorooms.com/113961/,(,https://www.google.com/maps/place/?q=place_id:ChIJlQFrYMvvaS4RWR-CoxOjnKY
ChIJKyBgybjoaS4Rtya9KyfaZzA,KOST SUGIANTO,-6.3986715,106.7453085,"KOST SUGIANTO, Jl. Masjid, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16516","Kota Depok, Jawa Barat",ID,Asia/Jakarta,Hotel jangka panjang,Hotel jangka panjang,4.4,,,,https://wa.me/qr/GIR5LODHJZUZE1,0,https://www.google.com/maps/place/?q=place_id:ChIJKyBgybjoaS4Rtya9KyfaZzA
ChIJCVljsKLvaS4RN4uRJD1v2kE,Guest House 555 NKI,-6.3428559,106.7565005,"Guest House 555 NKI, Jl. Merica, RT.01/RW.012, Banten, Kec. Pamulang, Kota Tangerang Selatan, Banten 15418","Kota Tangerang Selatan, Banten",ID,Asia/Jakarta,Hotel jangka panjang,Hotel jangka panjang,4.6,Wi-Fi gratis,"Berjarak satu kilometer dari Bandara Pondok Cabe, hotel kasual di gedung modern ini berjarak 5 km dari kolam renang Taman Rekreasi Situ Gintung dan 7 km dari Mal Cinere Bellevue.",Rp 271.366,https://www.thesanihara.com/guest-house.html,0,https://www.google.com/maps/place/?q=place_id:ChIJCVljsKLvaS4RN4uRJD1v2kE
